HHSIZECB,DSMKHHRB,LNDLORDB,DWLSTRBC,NUMRMSBC,ARIABC,NUMKHHEC,HHADULEC,STHHTYC,TENUREC,INCDECE,WHROR01,WHROR02,WHROR03,WHROR04,WHROR05,WHROR06,WHROR07,WHROR08,WHROR09,WHROR10,WHROR11,WHROR12,WHROR13,WHROR14,WHROR15,WHROR16,WHROR17,WHROR18,WHROR19,WHROR20,WHROR21,WHROR22,WHROR23,WHROR24,WHROR25,WHROR26,WHROR27,WHROR28,WHROR29,WHROR30,WHROR31,WHROR32,WHROR33,WHROR34,WHROR35,WHROR36,WHROR37,WHROR38,WHROR39,WHROR40,WHROR41,WHROR42,WHROR43,WHROR44,WHROR45,WHROR46,WHROR47,WHROR48,WHROR49,WHROR50,WHROR51,WHROR52,WHROR53,WHROR54,WHROR55,WHROR56,WHROR57,WHROR58,WHROR59,WHROR60,NHSFHHWT,FINSTRS,SF2SA1DN,SMKHSQ4D,PHONEQ01,LANDWH,LEVEL1,STATE,ABSPID,ABSBID,ABSCID,ABSGID,ABSTID,ABSUID,ABSMID,ABSLID
2,0,0,1,4,2,0,2,1,1,1,747.1069336,757.3022461,755.7509766,756.2270508,753.9589844,749.6728516,759.6767578,758.8076172,759.2573242,755.4902344,752.7514648,745.7602539,759.480957,745.5537109,741.7739258,753.206543,745.1323242,751.324707,752.300293,745.9013672,739.3999023,753.7924805,746.4248047,743.0800781,748.7666016,745.3115234,753.2636719,739.3881836,755.2797852,746.1655273,745.5307617,749.3305664,752.5625,745.1293945,746.0722656,744.9677734,756.4580078,752.4174805,752.8232422,752.3022461,754.3530273,750.4804688,749.8671875,747.1230469,751.1435547,748.449707,0,759.3007813,752.300293,760.1845703,750.3188477,758.6040039,757.5180664,762.1743164,755.1123047,756.3647461,746.9472656,744.0283203,745.7792969,738.3925781,738.5733894,1,4,0,1,1,1,3,0,0,0,0,0,0,0,NHS11B0000011
2,0,0,1,4,1,0,2,1,1,1,840.5068359,842.4272461,842.8325195,838.3544922,848.2900391,844.6298828,846.8125,845.3178711,843.5864258,849.9775391,839.1826172,846.6323242,843.4882813,852.0942383,844.4863281,840.8847656,840.8701172,846.1640625,842.9511719,854.4355469,854.1225586,846.0649414,843.2910156,836.2666016,847.6762695,839.9091797,848.6992188,852.2939453,838.6337891,830.2695313,842.0048828,845.4467773,845.8535156,836.862793,845.2607422,838.6503906,845.2973633,843.8081055,842.0825195,842.3886719,839.1826172,837.6098633,841.9819336,841.4624023,841.480957,837.8974609,849.9604492,0,847.4916992,846.7929688,840.3955078,852.1738281,843.2910156,846.7758789,847.6762695,838.4121094,838.1469727,840.1621094,838.6337891,837.6694336,829.3806313,1,7,0,1,2,1,2,0,0,0,0,0,0,0,NHS11B0000012
2,0,1,3,2,1,0,2,1,3,10,747.1069336,757.3022461,755.7509766,756.2270508,753.9589844,749.6728516,759.6767578,758.8076172,759.2573242,755.4902344,752.7514648,745.7602539,759.480957,745.5537109,741.7739258,753.206543,745.1323242,751.324707,752.300293,745.9013672,739.3999023,753.7924805,746.4248047,743.0800781,748.7666016,745.3115234,753.2636719,739.3881836,755.2797852,746.1655273,745.5307617,749.3305664,752.5625,745.1293945,746.0722656,744.9677734,756.4580078,752.4174805,752.8232422,752.3022461,754.3530273,750.4804688,749.8671875,747.1230469,751.1435547,748.449707,766.0087891,759.3007813,752.300293,760.1845703,750.3188477,758.6040039,757.5180664,762.1743164,755.1123047,0,746.9472656,744.0283203,745.7792969,738.3925781,738.5733894,1,5,0,2,3,1,3,0,0,0,0,0,0,0,NHS11B0000013
1,0,3,3,1,1,0,1,4,3,4,941.2685547,940.5786133,945.534668,945.7783203,958.9316406,940.4331055,943.9658203,926.6982422,945.3920898,930.5058594,944.3232422,946.1894531,935.0756836,936.84375,929.949707,941.4633789,939.3012695,925.1274414,957.2563477,935.3666992,945.5620117,940.1904297,953.6748047,937.4428711,941.5019531,930.1816406,925.8310547,942.0839844,933.5844727,945.9609375,943.7260742,957.9970703,945.534668,953.2646484,948.8901367,950.3325195,936.5717773,936.4018555,947.8862305,920.9375,944.3232422,933.9648438,935.0756836,939.2773438,944.5561523,931.7324219,936.8613281,922.7368164,944.8242188,942.6743164,953.0073242,945.0874023,938.9272461,937.4428711,939.0566406,935.0258789,935.4750977,957.1171875,928.7475586,0,924.9342187,1,9,0,1,2,1,1,0,0,0,0,0,0,0,NHS11B0000014
4,0,0,1,4,1,2,2,1,2,9,101.3460693,101.9406738,100.6951904,102.0491333,100.5979614,98.95446777,98.40881348,99.45703125,100.2155151,101.194519,100.0598145,101.0264893,100.4901733,104.184021,99.2868042,99.0333252,99.93829346,98.3916626,100.536499,98.95068359,99.32116699,101.0936279,100.0661621,100.1575317,100.5561523,99.63110352,99.45581055,100.864563,99.50958252,101.0517578,101.3460693,101.9406738,98.77111816,100.7323608,98.68786621,99.58880615,100.9649048,103.4089966,98.93890381,101.8516235,99.418396,100.3789063,103.1521606,101.4779663,98.0300293,99.66815186,99.93829346,0,101.8421631,100.8659058,99.95782471,101.0936279,100.711731,99.51550293,99.90740967,100.9334717,99.45581055,100.2221069,100.1474609,99.75622559,98.67588719,1,10,0,1,1,1,8,0,0,0,0,0,0,0,NHS11B0000015
1,0,0,1,3,3,0,1,4,1,3,143.461792,141.2062988,139.4875488,140.6783447,140.0759277,138.4105225,143.0803223,140.2801514,139.8914795,142.1235352,141.0041504,140.8665771,142.2946777,140.071167,139.7340088,142.6120605,142.6931152,139.8708496,139.9414063,139.927002,140.2351074,139.6274414,141.9787598,142.9976807,142.6236572,140.9111328,0,139.2229004,144.362793,140.6040039,142.8690186,142.9787598,141.2166748,141.262085,144.8041992,141.8708496,143.0803223,140.8597412,141.6328125,142.1235352,138.7114258,142.0405273,141.1186523,139.494751,140.3066406,142.0228271,143.887207,144.5922852,140.517334,142.2493896,143.7852783,141.9642334,142.5654297,140.6437988,144.3991699,140.9111328,141.3868408,139.7957764,144.9693604,141.1873779,139.1563225,1,5,0,1,1,1,6,0,0,0,0,0,0,0,NHS11B0000016
2,0,1,3,2,1,0,2,1,3,5,289.8652344,293.2336426,292.2832031,288.2758789,292.7668457,290.703125,293.3220215,290.3642578,288.1574707,291.7556152,290.8706055,291.5993652,290.041748,293.1906738,292.1970215,290.0817871,291.9094238,292.9274902,288.4311523,289.2988281,294.144043,294.2224121,295.8637695,293.6169434,289.0749512,289.3410645,291.2497559,289.5168457,289.9089355,292.6660156,289.3034668,290.3977051,296.9042969,289.9550781,293.3374023,292.9787598,291.6035156,289.8024902,293.8410645,296.3500977,290.8706055,292.7404785,290.605957,295.4946289,289.3657227,292.9257813,289.0808105,292.9274902,290.6757813,288.7402344,291.2883301,0,295.2836914,292.4724121,293.6096191,289.3410645,294.0996094,292.9230957,291.607666,289.8354492,286.8435239,2,7,0,1,2,1,4,0,0,0,0,0,0,0,NHS11B0000017
2,2,1,1,3,1,1,1,1,3,5,958.0961914,963.6860352,958.7866211,973.2929688,958.3779297,953.5668945,974.4375,948.6782227,948.8344727,963.3666992,1023.250488,958.0551758,977.1333008,1025.222656,1010.760742,966.5107422,0,972.2451172,1027.508789,1023.044434,1010.317383,966.4775391,1063.486328,967.8520508,950.8032227,958.6958008,956.0620117,1018.479004,965.3037109,977.2070313,1011.324219,963.6860352,958.7866211,973.2929688,958.3779297,1006.542969,974.4375,1001.382813,948.8344727,1016.886719,1023.250488,958.0551758,925.7050781,1025.222656,957.5625,1020.205566,930.9555664,972.2451172,973.4296875,969.199707,957.1430664,966.4775391,951.5410156,1021.62207,950.8032227,958.6958008,956.0620117,964.875,965.3037109,977.2070313,960.40494,2,6,5,1,2,1,2,0,0,0,0,0,0,0,NHS11B0000018
2,0,0,1,4,3,0,2,1,1,9,450.6149902,444.2780762,453.7456055,446.3012695,445.7143555,451.3581543,447.3227539,447.9692383,445.9873047,446.3012695,440.7695313,447.0695801,460.4875488,460.4382324,458.5964355,456.326416,447.6298828,447.9765625,443.4228516,444.6008301,445.7531738,448.0891113,450.8215332,448.1818848,453.7233887,448.5883789,448.4702148,452.3737793,448.1391602,440.2612305,443.4624023,446.6411133,444.1425781,446.3012695,441.0227051,446.5307617,442.5639648,443.2036133,443.6276855,0,443.0893555,442.3635254,443.432373,441.0512695,439.2871094,441.9162598,442.8930664,445.59375,443.4228516,439.9206543,441.0610352,445.7055664,441.3305664,438.7958984,448.8706055,443.8413086,441.388916,440.5317383,445.7680664,442.5908203,438.6825506,1,7,0,1,1,1,5,0,0,0,0,0,0,0,NHS11B0000019
2,0,0,1,3,1,0,2,1,1,1,840.5068359,842.4272461,842.8325195,838.3544922,848.2900391,844.6298828,846.8125,845.3178711,843.5864258,849.9775391,839.1826172,846.6323242,843.4882813,852.0942383,844.4863281,840.8847656,840.8701172,846.1640625,842.9511719,854.4355469,854.1225586,846.0649414,843.2910156,836.2666016,847.6762695,839.9091797,848.6992188,852.2939453,838.6337891,830.2695313,842.0048828,845.4467773,0,836.862793,845.2607422,838.6503906,845.2973633,843.8081055,842.0825195,842.3886719,839.1826172,837.6098633,841.9819336,841.4624023,841.480957,837.8974609,849.9604492,840.1416016,847.4916992,846.7929688,840.3955078,852.1738281,843.2910156,846.7758789,847.6762695,838.4121094,838.1469727,840.1621094,838.6337891,837.6694336,829.3806313,1,4,0,1,1,1,2,0,0,0,0,0,0,0,NHS11B0000020
